match_id,timestamp,home_team_id,away_team_id,home_score_total,away_score_total,home_sets_won,away_sets_won,score_diff,set_diff,home_current_score,away_current_score,set_info,game_duration,match_status,home_win_rate_last5,away_win_rate_last5,head_to_head_win_rate_home
198944,2025-06-04 14:30:15.557690,2322,45540,48,40,1,0,8,1,23,22,Set 1: 25-18 | Set 2: 23-22,150m 0s,2nd set,1.0,0.8,0.9
198944,2025-06-04 14:30:41.399190,2322,45540,49,40,1,0,9,1,24,22,Set 1: 25-18 | Set 2: 24-22,150m 0s,2nd set,1.0,0.8,0.9
198944,2025-06-04 14:31:34.365946,2322,45540,49,41,1,0,8,1,24,23,Set 1: 25-18 | Set 2: 24-23,150m 0s,2nd set,1.0,0.8,0.9
198944,2025-06-04 14:32:00.164632,2322,45540,50,41,1,0,9,1,25,23,Set 1: 25-18 | Set 2: 25-23,150m 0s,2nd set,1.0,0.8,0.9
198944,2025-06-04 14:32:10.946002,2322,45540,50,43,1,0,7,1,25,25,Set 1: 25-18 | Set 2: 25-25,150m 0s,2nd set,1.0,0.8,0.9
198944,2025-06-04 14:32:21.703029,2322,45540,50,42,1,0,8,1,25,24,Set 1: 25-18 | Set 2: 25-24,150m 0s,2nd set,1.0,0.8,0.9
198944,2025-06-04 14:32:47.455098,2322,45540,51,42,1,0,9,1,26,24,Set 1: 25-18 | Set 2: 26-24,150m 0s,2nd set,1.0,0.8,0.9
198944,2025-06-04 14:33:50.159797,2322,45540,52,42,2,0,10,2,27,24,Set 1: 25-18 | Set 2: 27-24,150m 0s,Pause,1.0,0.8,0.9
198944,2025-06-04 14:34:15.960119,2322,45540,52,43,2,0,9,2,27,25,Set 1: 25-18 | Set 2: 27-25,150m 0s,Pause,1.0,0.8,0.9
198944,2025-06-04 14:39:30.418089,2322,45540,53,44,2,0,9,2,1,1,Set 1: 25-18 | Set 2: 27-25 | Set 3: 1-1,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:40:12.659787,2322,45540,53,45,2,0,8,2,1,2,Set 1: 25-18 | Set 2: 27-25 | Set 3: 1-2,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:40:44.099043,2322,45540,54,44,2,0,10,2,2,1,Set 1: 25-18 | Set 2: 27-25 | Set 3: 2-1,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:41:26.203828,2322,45540,55,45,2,0,10,2,3,2,Set 1: 25-18 | Set 2: 27-25 | Set 3: 3-2,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:42:02.737511,2322,45540,56,45,2,0,11,2,4,2,Set 1: 25-18 | Set 2: 27-25 | Set 3: 4-2,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:42:43.114559,2322,45540,57,45,2,0,12,2,5,2,Set 1: 25-18 | Set 2: 27-25 | Set 3: 5-2,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:42:54.648447,2322,45540,57,46,2,0,11,2,5,3,Set 1: 25-18 | Set 2: 27-25 | Set 3: 5-3,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:43:31.524608,2322,45540,58,46,2,0,12,2,6,3,Set 1: 25-18 | Set 2: 27-25 | Set 3: 6-3,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:44:19.355177,2322,45540,59,46,2,0,13,2,7,3,Set 1: 25-18 | Set 2: 27-25 | Set 3: 7-3,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:44:50.813875,2322,45540,59,47,2,0,12,2,7,4,Set 1: 25-18 | Set 2: 27-25 | Set 3: 7-4,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:45:01.550302,2322,45540,60,47,2,0,13,2,8,4,Set 1: 25-18 | Set 2: 27-25 | Set 3: 8-4,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:45:33.027940,2322,45540,59,47,2,0,12,2,7,4,Set 1: 25-18 | Set 2: 27-25 | Set 3: 7-4,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:45:58.962745,2322,45540,59,48,2,0,11,2,7,5,Set 1: 25-18 | Set 2: 27-25 | Set 3: 7-5,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:48:03.371721,2322,45540,62,50,2,0,12,2,10,7,Set 1: 25-18 | Set 2: 27-25 | Set 3: 10-7,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:49:00.516273,2322,45540,63,49,2,0,14,2,11,6,Set 1: 25-18 | Set 2: 27-25 | Set 3: 11-6,150m 0s,3rd set,1.0,0.8,0.9
198944,2025-06-04 14:49:11.263926,2322,45540,63,50,2,0,13,2,11,7,Set 1: 25-18 | Set 2: 27-25 | Set 3: 11-7,150m 0s,3rd set,1.0,0.8,0.9
